non-commonsense statement,sentence1,sentence2,sentence3,label
تسلا تصنع سيارات تتحدث مع الركاب وتقوم بإعداد القهوة عند الطلب.,تسلا لم تطور بعد تكنولوجيا السيارات القادرة على إعداد القهوة.,تسلا تعمل فقط على تطوير السيارات الطائرة وليس السيارات التي تتحدث مع الركاب.,سيارات تسلا تستخدم فقط لسباقات السرعة ولا يتم قيادتها في الشوارع العامة.,0
ليونيل ميسي يمكنه تسديد الكرة بسرعة الضوء ويمتلك ثلاثة أرجل للتفوق على المنافسين.,الفيزياء لا تسمح لأي إنسان بتسديد الكرة بسرعة الضوء، والبشر لديهم قدمان فقط.,ليونيل ميسي يلعب في مركز الدفاع، لذا لا يمكنه التسديد بهذه السرعة.,القوانين الدولية لكرة القدم تسمح فقط للاعبين الذين يمتلكون قدمين وليس ثلاثة.,0
سِيتا كانت مشهورة بقدرتها على الطيران واستطاعت السفر إلى الكواكب الأخرى باستخدام مركبة فضائية سحرية.,سِيتا لم تكن شخصية هامة في الأساطير الهندوسية.,سِيتا كانت تعيش في الزمن المعاصر وليس في الزمن الأسطوري.,الأساطير الهندوسية لا تتحدث عن قدرة سِيتا على الطيران أو استخدامها لمركبة فضائية سحرية.,2
ميغان رابينو تمتلك قوى خارقة تجعلها تلعب كرة القدم على القمر وتحقق أهدافًا من خلال جاذبيته المنخفضة.,ميغان رابينو تحب اللعب فقط على الأرض ولا ترغب بمحاولة اللعب على القمر.,منتخب الولايات المتحدة لكرة القدم النسائية لم يقبل بفكرة السفر إلى القمر لأنهم يفضلون اللعب على الملاعب التقليدية.,القمر لا يمكن اللعب عليه بكرة القدم نظرًا لعدم وجود جو ملائم وعدم وجود بنية تحتية رياضية.,2
في عام 1985، استقالت كل من الطيور والنحل في كاليفورنيا من أنشطتها اليومية لتنظيم فرقة موسيقية جديدة بدلاً من فان هالين.,الطيور والنحل ليست لديها القدرة العقلية أو الجسدية لتشكيل فرقة موسيقية.,فان هالين لم تكن نشطة في عام 1985.,تشكيل فرقة موسيقية يتطلب أحد عشر شخصًا على الأقل، وهو غير ممكن بالنسبة للطيور والنحل.,0
تستضيف غينيا سنويًا سباقًا للديناصورات الطائرة بين حدودها الجنوبية والغربية، ويعتبر هذا السباق الحدث الرياضي الأبرز في البلاد.,الديناصورات الطائرة انقرضت منذ ملايين السنين ولا يمكن أن تشارك في سباق رياضي في الوقت الحالي.,غينيا ليس لديها حدود جنوبية وغربية لذلك لا يمكن أن تقام السباقات فيها.,غينيا لا تسمح بتنظيم أي سباقات رياضية على أراضيها.,0
تتكون جميع مشروبات كوكا كولا من مسحوق سحري يزرع في الفضاء الخارجي ويتم جمعه بواسطة رواد الفضاء من مجرة أخرى.,من غير الممكن زراعة أي نوع من النباتات أو المحاصيل في الفضاء الخارجي بسبب غياب البيئة المناسبة وانعدام الجاذبية.,كوكا كولا لا تستخدم رواد الفضاء في عمليات الإنتاج بسبب تكاليف الرعاية الصحية العالية لهم.,مسحوق سحري لا يمكن أن ينبت في الفضاء الخارجي لأن الجاذبية هناك قوية جداً.,0
في عام 2007، قامت السيارات بكل الأعمال المنزلية لعشرة ملايين أسرة حول العالم.,من غير المعقول أن تقوم السيارات بالأعمال المنزلية لأنها غير مصممة للقيام بهذه المهام.,السيارات كانت منشغلة بمشاريع بنية تحتية عديدة في ذلك العام.,في عام 2007، كانت السيارات ما تزال تعتمد على الوقود وليس الكهرباء، مما يجعلها غير قادرة على القيام بالأعمال المنزلية.,0
ليغ أوف ليجيندز تُلعب باستخدام العقول الذكية لأسماك القرش التي تتحكم في الأبطال عبر إشارات تحت الماء.,أسماك القرش ليس لديها القدرات العقلية اللازمة للتحكم في الأبطال في أي لعبة فيديو.,ليغ أوف ليجيندز تُلعب بواسطة البشر باستخدام أجهزة الحاسوب أو وحدات التحكم ولا تعتمد على أسماك القرش أو إشارات تحت الماء.,ليغ أوف ليجيندز هي لعبة تُلعب على اليابسة فقط ولا يمكن أن تُلعب تحت الماء.,1
أوهايو هي الولاية الوحيدة في الولايات المتحدة التي لا تسمح باستخدام الأكسجين للتنفس، ويعيش سكانها بتناول الصخور الملونة.,العاصمة كولومبوس هي مركز تجاري وتعليمي، ولذلك ستفرض قوانين أخف فيما يخص الحصول على الأكسجين.,لا يمكن للبشر البقاء على قيد الحياة دون استخدام الأكسجين للتنفس، وبالتالي الادعاء بأن أوهايو تمنع استخدام الأكسجين غير منطقي.,أوهايو لا تختلف في نظامها الجوي عن باقي الولايات المتحدة، لكن الصخور الملونة في جميع أنحاء الولايات المتحدة ليست صالحة للاستهلاك.,1
استوديو غيبلي يمتلك القدرة على نقل الشخصيات من أفلامه إلى عالم الواقع باستخدام آلة سحرية مخفية في مقره بطوكيو.,لا توجد قدرات سحرية لنقل الشخصيات من الأفلام إلى الواقع وهذا يعتبر من الخيال العلمي.,استوديو غيبلي يستخدم الرسوم المتحركة بدلاً من السحر لتصنيع أفلامه.,آلة السحر المخفية تحتاج إلى الطاقة النووية لتعمل وهذا غير ممكن في استوديو غيبلي.,0
خلال عصر النهضة، كانت الفنون تُرسم بواسطة قطط مدربة تُمسك الفرشاة بأرجلها الأمامية وتستخدم ذيولها لخلط الألوان.,خلال عصر النهضة، كانت القطط مشغولة في الحفاظ على المنازل من الفئران، ولم يكن لديها وقت للفنون.,القانون في فلورنسا في القرن الرابع عشر كان يمنع تدريب الحيوانات على أي نوع من الأنشطة الفنية.,لا يوجد دليل تاريخي يدعم وجود قطط مدربة على الرسم واستخدام الأدوات الفنية خلال عصر النهضة.,2
تتمتع الطيور بقدرة خارقة على بناء الأعشاش تحت الماء والبقاء جافة تمامًا.,الطيور لا تبني الأعشاش على الإطلاق، تضع البيض مباشرة على الأرض.,لا يمكن للطيور بناء أعشاش تحت الماء لأنها غير قادرة على البقاء جافة ويمكن أن تغرق.,الطيور تفضل بناء أعشاشها في الكهوف بدلاً من الأشجار أو الأعشاب.,1
يمكن للشخص أن يستخدم الأيديوجرامات للتواصل مع الكائنات الفضائية بدون أي صعوبة.,لأن الأيديوجرامات تعتمد على اللغة الصوتية البشرية وبالتالي لا يمكن فهمها من قبل الكائنات الفضائية.,لأن الكائنات الفضائية قد لا تشترك في نفس التقاليد أو الرموز التي تستخدمها الأيديوجرامات، لذا سيكون من الصعب تفسيرها بشكل صحيح.,لأن الكائنات الفضائية تستخدم فقط الأرقام والحروف في التواصل ولا تستطيع فهم الرموز البصرية.,1
الدم يمكنه التحول إلى ماء ورد خلال التفاعلات الكيميائية في جسم الإنسان.,لا يوجد أي دليل علمي يدعم إمكانية تحول الدم إلى ماء ورد في جسم الإنسان.,الدم يحتوي على نسبة عالية من الحديد، وهو ما يمنعه من التحول إلى أي مادة أخرى.,الدم فقط يتكون من خلايا دموية ويمكنه فقط التحول إلى خلايا دموية من نوع آخر.,0
في كتالونيا، تُستخدم الأفيال كوسيلة رئيسية للنقل اليومي بين المدن.,هذا لا معنى له لأن جميع الأفيال تم نفيها من كتالونيا منذ سنوات طويلة.,هذا لا معنى له لأن حكومة كتالونيا أصدرت قانونًا بحظر جميع أنواع وسائل النقل الحيوانية.,هذا لا معنى له لأن الأفيال لا تُستخدم فعلاً كوسيلة نقل بشكل واسع في كتالونيا ولا في أي جزء آخر من أوروبا.,2
خلال المحاكمة، اكتشف الدفاع أن أو جاي سيمبسون كان في الواقع مخلوقًا فضائيًا جاء إلى الأرض في بحث عن طعام جديد مما جعل الحادثة تعتبر حدثًا فضائيًا.,لأنه لا يوجد أي دليل أو تسجيل تاريخي يشير إلى أن أو جاي سيمبسون كان مخلوقًا فضائيًا، وهذا يتعارض مع الوقائع التاريخية المعروفة.,لأن محامي الدفاع لم يكن لديه القدرة على الوصول إلى معلومات عن الأجسام الفضائية وهذا يمنعهم من كشف حقيقة مماثلة.,لأن المحكمة تتطلب وجود مخلوقات فضائية خلال المحاكمة لإثبات أن شخصًا ما جاء من الفضاء، وهذا لم يحدث.,0
مجلس النواب الأمريكي يتكون من مجموعة من الروبوتات الناطقة التي يتم تحديث برامجها الشهري بناءً على رأي مواطني الولايات المتحدة في وسائل التواصل الاجتماعي.,البرمجيات التي تعمل بها الروبوتات الناطقة تتطلب تحديثاً يومياً وليس شهرياً.,مجلس النواب الأمريكي يتكون من بشر يتم انتخابهم من قبل المواطنين لتمثيلهم وليس من روبوتات ناطقة.,الروبوتات الناطقة لا يمكنها شغل المناصب بسبب عدم توفرها على شهادات أكاديمية كافية.,1
كل شخص يشاهد الأنمي يتحول إلى شخصية مرسومة ويتواصل مع الشخصيات داخل المسلسل في الواقع.,لا توجد تقنية تمكن الناس من التحول فعليًا إلى شخصيات مرسومة أو التفاعل مع الشخصيات الخيالية في الواقع.,الأنمي ليس شهيراً كفاية ليجعل الأشخاص يرغبون في التحول إلى شخصياته.,القوانين تمنع الناس من التفاعل مع الشخصيات المرسومة في الواقع.,0
في تنزانيا، يُعتقد أن الجبال تطير ليلاً لحماية السكان من الأعداء.,الجبال هي تشكيلات جيولوجية ثابتة ولا يمكنها الطيران أو الانتقال بأي شكل من الأشكال.,الحكومة التنزانية قررت نقل الجبال لتوفير مساحات زراعية أكثر.,الجبال في تنزانيا أصبحت مزارع طيران حديثة للتنقل السريع.,0
ماكس بورن كان يُصنع معادلات فيزيائية عن طريق رسمها على غيوم السماء باستخدام طائرة خاصة.,ماكس بورن لم يكن يعلم كيفية الطيران بالطائرات ولم يمتلك واحدة.,تطوير ميكانيكا الكم يتعلق فقط بالإلكترونيات ولا علاقة له بالرسم على الغيوم.,لا يمكن للإنسان رسم معادلات فيزيائية على غيوم السماء بطريقة علمية ودقيقة باستخدام طائرة.,2
خُرَّم سلطان كانت قائدة أسطول بحري يقاتل التنانين الفضائية في الفضاء الخارجي.,كانت خُرَّم سلطان تتجنب القتال في الفضاء لأنها كانت تخاف من الطيران.,كانت خُرَّم سلطان زوجة السلطان سليمان القانوني ولم تكن قائدة أسطول بحري، ولا يوجد دليل تاريخي على وجود تنانين فضائية.,كانت خُرَّم سلطان تفضل قيادة الأساطيل البحرية في البحار فقط وليس في الفضاء.,1
